neighborhood;quatLat;quadLon;request
BRONX;408;-740;8
BRONX;408;-739;15
BROOKLYN;405;-740;1
BROOKLYN;406;-741;4
BROOKLYN;406;-740;15
BROOKLYN;406;-739;2
BROOKLYN;407;-740;4
MANHATTAN;407;-741;2
MANHATTAN;407;-740;6
MANHATTAN;408;-740;11
QUEENS;405;-738;1
QUEENS;406;-739;4
QUEENS;406;-738;3
QUEENS;407;-740;5
QUEENS;407;-739;9
QUEENS;407;-738;1
STATEN ISLAND;405;-743;1
STATEN ISLAND;405;-742;2
STATEN ISLAND;406;-742;3
STATEN ISLAND;406;-741;1
