Created Date;Agency Name;Complaint Type Code;Status;Borough;Latitude;Longitude
2016-08-25 17:34:56;HPD;APPLI009;Closed;QUEENS;40.59344503992129;-73.75317909158528
2018-08-24 22:09:56;DOT;CC339014;Closed;QUEENS;40.75033845640597;-73.89999328769153
2021-02-05 10:21:51;HPD;UNSAN020;Closed;BROOKLYN;40.7002743860025;-73.93021125251236
2011-10-25 00:00:00;HPD;PAINT015;Closed;BROOKLYN;40.68564506026227;-73.98049690032614
2012-06-12 11:13:00;DEP;N1637005;Closed;BROOKLYN;40.685011962448264;-73.95463381784354
2019-07-28 12:33:00;DSNY;MCAM1033;Closed;QUEENS;40.73669118916988;-73.90277783626915
2021-04-15 12:07:43;DOB;P9056008;Closed;QUEENS;40.75143556114212;-73.89599621301532
2018-09-08 18:27:04;NYPD;NC110018;Closed;BRONX;40.84197070998863;-73.92451127059411
2019-06-25 21:56:00;DEP;AQ100011;Closed;QUEENS;40.74195912495176;-73.92593816360912
2018-06-25 14:30:48;DOT;CC339014;Closed;STATEN ISLAND;40.60736605531921;-74.13709997360733
2018-10-28 22:47:42;HPD;HEATH014;Closed;MANHATTAN;40.815416694719694;-73.95942207955788
2023-06-16 18:40:50;NYPD;NV935015;Closed;MANHATTAN;40.80433382634111;-73.95304263360737
2021-08-17 18:05:00;DSNY;RLBIC035;Closed;BRONX;40.897483868949685;-73.86828804908271
2010-05-30 13:57:47;DOB;BU718012;Closed;QUEENS;40.68586604337025;-73.83888697081578
2020-04-15 17:00:09;DCWP;CC486018;Closed;BROOKLYN;40.7298187927029;-73.95111070571417
2019-07-20 08:02:31;NYPD;NC110018;Closed;BROOKLYN;40.69405162963879;-73.93424942083789
2016-10-29 08:11:24;HPD;PAINT013;Closed;MANHATTAN;40.8291543056864;-73.94103929340858
2017-08-14 09:24:48;DPR;OTB17023;Closed;BROOKLYN;40.681329158453494;-73.99745455775071
2013-02-19 15:38:20;DOB;GCP16029;Closed;BROOKLYN;40.67010168180382;-73.98220292769408
2024-06-23 06:31:44;NYPD;NSS51023;Closed;STATEN ISLAND;40.54776862480282;-74.15602318268121
2012-03-19 15:46:06;DOB;P9056008;Closed;BRONX;40.81982128989687;-73.8879119457195
2017-03-11 06:18:55;HPD;HEATH014;Closed;BROOKLYN;40.64959868852918;-73.95425067636884
2015-07-30 12:13:58;HPD;PLUMB008;Closed;BROOKLYN;40.609505055010096;-73.96030356832459
2023-10-02 13:42:30;DPR;NTR10016;In Progress;BRONX;40.885169530651446;-73.89624629430064
